loc,cases,deaths,date,Region,year
DAGUPAN CITY,0,0,5/1/2020,Region I-ILOCOS REGION,2020
ILOCOS NORTE,0,0,5/1/2020,Region I-ILOCOS REGION,2020
ILOCOS SUR,0,0,5/1/2020,Region I-ILOCOS REGION,2020
LA UNION,1,0,5/1/2020,Region I-ILOCOS REGION,2020
PANGASINAN,12,0,5/1/2020,Region I-ILOCOS REGION,2020
BATANES,0,0,5/1/2020,Region II-CAGAYAN VALLEY,2020
CAGAYAN,13,0,5/1/2020,Region II-CAGAYAN VALLEY,2020
ISABELA,45,0,5/1/2020,Region II-CAGAYAN VALLEY,2020
NUEVA VISCAYA,30,0,5/1/2020,Region II-CAGAYAN VALLEY,2020
QUIRINO,14,0,5/1/2020,Region II-CAGAYAN VALLEY,2020
SANTIAGO CITY,6,1,5/1/2020,Region II-CAGAYAN VALLEY,2020
ANGELES CITY,5,0,5/1/2020,REGION III-CENTRAL LUZON,2020
AURORA,0,0,5/1/2020,REGION III-CENTRAL LUZON,2020
BATAAN,11,0,5/1/2020,REGION III-CENTRAL LUZON,2020
BULACAN,59,1,5/1/2020,REGION III-CENTRAL LUZON,2020
NUEVA ECIJA,90,0,5/1/2020,REGION III-CENTRAL LUZON,2020
OLONGAPO CITY,5,0,5/1/2020,REGION III-CENTRAL LUZON,2020
PAMPANGA,74,0,5/1/2020,REGION III-CENTRAL LUZON,2020
TARLAC,9,0,5/1/2020,REGION III-CENTRAL LUZON,2020
ZAMBALES,5,0,5/1/2020,REGION III-CENTRAL LUZON,2020
BATANGAS,136,1,5/1/2020,REGION IV-A-CALABARZON,2020
CAVITE,312,3,5/1/2020,REGION IV-A-CALABARZON,2020
LAGUNA,179,1,5/1/2020,REGION IV-A-CALABARZON,2020
LUCENA CITY,7,0,5/1/2020,REGION IV-A-CALABARZON,2020
QUEZON,85,0,5/1/2020,REGION IV-A-CALABARZON,2020
RIZAL,194,1,5/1/2020,REGION IV-A-CALABARZON,2020
MARINDUQUE,0,0,5/1/2020,REGION IVB-MIMAROPA,2020
OCCIDENTAL MINDORO,0,0,5/1/2020,REGION IVB-MIMAROPA,2020
ORIENTAL MINDORO,0,0,5/1/2020,REGION IVB-MIMAROPA,2020
PALAWAN,0,0,5/1/2020,REGION IVB-MIMAROPA,2020
PUERTO PRINCESA CITY,0,0,5/1/2020,REGION IVB-MIMAROPA,2020
ROMBLON,1,0,5/1/2020,REGION IVB-MIMAROPA,2020
ALBAY,17,0,5/1/2020,REGION V-BICOL REGION,2020
CAMARINES NORTE,12,0,5/1/2020,REGION V-BICOL REGION,2020
CAMARINES SUR,53,0,5/1/2020,REGION V-BICOL REGION,2020
CATANDUANES,1,0,5/1/2020,REGION V-BICOL REGION,2020
MASBATE,5,0,5/1/2020,REGION V-BICOL REGION,2020
NAGA CITY,13,0,5/1/2020,REGION V-BICOL REGION,2020
SORSOGON,15,0,5/1/2020,REGION V-BICOL REGION,2020
AKLAN,0,0,5/1/2020,REGION VI-WESTERN VISAYAS,2020
ANTIQUE,0,0,5/1/2020,REGION VI-WESTERN VISAYAS,2020
